domain,task_id,num_samples,num_classes,min_class_frac,task_type,source,description,num_embedding_files
audio,audio_crema_d,2000,6,0.1465,multiclass,HuggingFace (confit/crema-d),Crowd-sourced emotional speech classification (6 emotions),4
audio,audio_emodb,535,7,0.086,multiclass,HuggingFace (renumics/emodb),German emotional speech classification (7 emotions),4
audio,audio_esc10,400,10,0.1,,HuggingFace (ashraq/esc50),ESC-10 environmental sound classification (10 classes),5
audio,audio_gtzan,999,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),Music genre classification across 10 genres (GTZAN),5
audio,audio_ravdess,1440,8,0.0667,multiclass,HuggingFace (xbgoose/ravdess),RAVDESS emotional speech classification,4
audio,audio_urbansound8k,2000,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),Urban environmental sound classification (10 classes),4
audio,audio_voxforge_lang,200,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),Spoken language identification (6 European languages) from VoxForge recordings,4
graphs,graph_aids,2000,2,0.2,binary,PyG TUDataset (AIDS),Anti-HIV activity screening,4
graphs,graph_bzr,405,2,0.2123,,TUDataset (BZR),BZR receptor ligand molecular graphs,4
graphs,graph_cox2,467,2,0.2184,,TUDataset (COX2),COX2 inhibitor molecular graphs,4
graphs,graph_dd,1178,2,0.4134,binary,PyG TUDataset (DD),Enzymes vs non-enzymes protein structures,4
graphs,graph_dhfr,756,2,0.3902,binary,PyG TUDataset (DHFR),Dihydrofolate reductase inhibitors,4
graphs,graph_enzymes,600,6,0.1667,multiclass,PyG TUDataset (ENZYMES),Protein enzymes classified into 6 EC levels,4
graphs,graph_mutag,188,2,0.3351,,TUDataset (MUTAG),Mutagenic molecular compounds (MUTAG),4
graphs,graph_nci1,4110,2,0.4995,binary,PyG TUDataset (NCI1),Chemical compounds screened against lung cancer,4
graphs,graph_proteins,1113,2,0.4043,,TUDataset (PROTEINS),Protein 3D structure macromolecule graphs,4
graphs,graph_ptc_mr,344,2,0.4419,binary,PyG TUDataset (PTC_MR),Carcinogenicity in male rats,4
molecules,tdc_ames,5727,2,0.4741,,Therapeutics Data Commons (TOX),Ames bacterial reverse mutagenicity,5
molecules,tdc_b3db_classification,5616,2,0.3504,,Therapeutics Data Commons (ADME),B3DB Blood-Brain Barrier distribution,5
molecules,tdc_bbb_martins,2030,2,0.236,,Therapeutics Data Commons (ADME),Blood-brain barrier penetration (Martins),5
molecules,tdc_bioavailability_ma,640,2,0.2313,,Therapeutics Data Commons (ADME),Oral drug bioavailability (Ma),5
molecules,tdc_carcinogens_lagunin,280,2,0.2143,,Therapeutics Data Commons (TOX),Rodent carcinogenicity hazard,5
molecules,tdc_cav3_t-type_calcium_channels_butkiewicz,6000,2,0.0077,,Therapeutics Data Commons (HTS),Cav3 T-type calcium channel inhibition,5
molecules,tdc_clintox,1478,2,0.0758,,Therapeutics Data Commons (TOX),FDA approval vs clinical trial toxicity failure,5
molecules,tdc_cyp1a2_veith,6000,2,0.464,,Therapeutics Data Commons (ADME),CYP1A2 enzyme inhibition (Veith),5
molecules,tdc_cyp2c19_veith,6000,2,0.4512,,Therapeutics Data Commons (ADME),CYP2C19 enzyme inhibition (Veith),5
molecules,tdc_cyp2c9_substrate_carbonmangels,669,2,0.2108,,Therapeutics Data Commons (ADME),CYP2C9 substrate specificity,5
molecules,tdc_cyp2c9_veith,6000,2,0.345,,Therapeutics Data Commons (ADME),CYP2C9 enzyme inhibition (Veith),5
