domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc
audio,audio_crema_d,ast_audioset,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.43,0.4675,0.51,0.5,0.47,0.7196250715638124,0.7938559218825816,0.8037123836372504,0.8103444844356856,0.7821949438479501
audio,audio_crema_d,clap_general,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.44,0.44,0.49,0.4875,0.4425,0.7213622428665446,0.775611063356389,0.7975682228647386,0.7990009819251944,0.7782868831120927
audio,audio_crema_d,wavlm_base_plus,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.3975,0.5225,0.545,0.48,0.4625,0.7028717987488519,0.8275009485821933,0.8380144431826452,0.8266320906151158,0.7931755184620314
audio,audio_crema_d,whisper_large_v3_turbo,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.385,0.6175,0.6075,0.5375,0.53,0.7184285859168352,0.8928133695737764,0.8905385065041639,0.8555147877139966,0.8384761613307408
audio,audio_emodb,ast_audioset,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.616822429906542,0.6728971962616822,0.6728971962616822,0.6915887850467289,0.5514018691588785,0.9013110677364354,0.9289006336568137,0.932670850701357,0.9235652457560226,0.840771314262527
audio,audio_emodb,clap_general,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.6915887850467289,0.6915887850467289,0.719626168224299,0.6261682242990654,0.5233644859813084,0.9028029618794687,0.9275514912876636,0.9333100580772017,0.9208762174658117,0.8630844202520401
audio,audio_emodb,wavlm_base_plus,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.4953271028037383,0.6728971962616822,0.7009345794392523,0.6728971962616822,0.5607476635514018,0.8209415294440207,0.9203046923228653,0.9175099718757062,0.9275014091114462,0.8800285172450121
audio,audio_emodb,whisper_large_v3_turbo,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.48598130841121495,0.8037383177570093,0.8317757009345794,0.7757009345794392,0.616822429906542,0.761817998881728,0.970730136242231,0.9798705076156871,0.9632958067885486,0.8785316426705828
audio,audio_esc10,ast_audioset,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),1.0,1.0,1.0,0.9666666666666667,0.95,1.0,1.0,1.0,1.0,0.9972222222222221
audio,audio_esc10,clap_general,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),1.0,1.0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.0,0.999074074074074
audio,audio_esc10,w2v_bert_2,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),0.7833333333333333,0.8166666666666667,0.85,0.8,0.7333333333333333,0.9791666666666667,0.9830246913580247,0.986111111111111,0.9709876543209877,0.9660493827160493
audio,audio_esc10,wavlm_base_plus,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),0.8833333333333333,0.8666666666666667,0.8833333333333333,0.9166666666666666,0.8166666666666667,0.9675925925925926,0.9919753086419754,0.9910493827160494,0.9922839506172838,0.9898148148148149
audio,audio_esc10,whisper_large_v3_turbo,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),0.8,0.9333333333333333,0.9166666666666666,0.85,0.8166666666666667,0.9614197530864198,0.9959876543209877,0.9969135802469136,0.991358024691358,0.9820987654320987
audio,audio_gtzan,ast_audioset,999,599,200,200,10,0.0991,multiclass,HuggingFace (marsyas/gtzan),0.81,0.835,0.845,0.805,0.695,0.9524305555555556,0.9793888888888891,0.9835277777777778,0.9777777777777779,0.9511388888888888
