domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc,ours_seed42_regime,ours_seed42_accuracy,ours_seed42_auroc,ours_seed123_regime,ours_seed123_accuracy,ours_seed123_auroc,ours_seed456_regime,ours_seed456_accuracy,ours_seed456_auroc,ours_seed789_regime,ours_seed789_accuracy,ours_seed789_auroc,ours_lodo_accuracy,ours_lodo_auroc
audio,audio_crema_d,ast_audioset,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.43,0.4675,0.51,0.5,0.47,0.7196250715638124,0.7938559218825816,0.8037123836372504,0.8103444844356856,0.7821949438479501,unseen_encoders,0.525,0.8230569740513208,unseen_encoders,0.52,0.8239892900862517,unseen_both,0.525,0.8200094467419742,unseen_encoders,0.5175,0.8238865565996841,0.5025,0.8136202969300182
audio,audio_crema_d,clap_general,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.44,0.44,0.49,0.4875,0.4425,0.7213622428665446,0.775611063356389,0.7975682228647386,0.7990009819251944,0.7782868831120927,seen,0.4975,0.8101081146006038,seen,0.5,0.8129871445057432,unseen_tasks,0.5,0.8066449152294801,seen,0.505,0.8106853011835033,0.495,0.802270454097478
audio,audio_crema_d,wavlm_base_plus,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.3975,0.5225,0.545,0.48,0.4625,0.7028717987488519,0.8275009485821933,0.8380144431826452,0.8266320906151158,0.7931755184620314,seen,0.5425,0.8523613266915592,seen,0.5575,0.85603424810054,unseen_tasks,0.535,0.8382718054299114,seen,0.5375,0.8424690489793921,0.495,0.8264749709864154
audio,audio_crema_d,whisper_large_v3_turbo,2000,1200,400,400,6,0.1465,multiclass,HuggingFace (confit/crema-d),0.385,0.6175,0.6075,0.5375,0.53,0.7184285859168352,0.8928133695737764,0.8905385065041639,0.8555147877139966,0.8384761613307408,seen,0.6025,0.8889334063180042,seen,0.6325,0.8928174596467467,unseen_tasks,0.62,0.8942212745996971,seen,0.615,0.8903194090443743,0.59,0.8821774656706597
audio,audio_emodb,ast_audioset,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.616822429906542,0.6728971962616822,0.6728971962616822,0.6915887850467289,0.5514018691588785,0.9013110677364354,0.9289006336568137,0.932670850701357,0.9235652457560226,0.840771314262527,unseen_encoders,0.7476635514018691,0.9429901588524013,unseen_both,0.7383177570093458,0.9397446543185063,unseen_encoders,0.7570093457943925,0.9465760803405467,unseen_encoders,0.7383177570093458,0.9391262158487211,0.7102803738317757,0.9432696703942088
audio,audio_emodb,clap_general,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.6915887850467289,0.6915887850467289,0.719626168224299,0.6261682242990654,0.5233644859813084,0.9028029618794687,0.9275514912876636,0.9333100580772017,0.9208762174658117,0.8630844202520401,seen,0.7289719626168224,0.944040153953223,unseen_tasks,0.6728971962616822,0.9309289212782167,seen,0.6728971962616822,0.9407478145430269,seen,0.6728971962616822,0.9377230580823992,0.6822429906542056,0.93542436237238
audio,audio_emodb,wavlm_base_plus,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.4953271028037383,0.6728971962616822,0.7009345794392523,0.6728971962616822,0.5607476635514018,0.8209415294440207,0.9203046923228653,0.9175099718757062,0.9275014091114462,0.8800285172450121,seen,0.7009345794392523,0.9357841965908351,unseen_tasks,0.6728971962616822,0.9198778429003486,seen,0.7009345794392523,0.9268868351302573,seen,0.6915887850467289,0.9222905273817154,0.6355140186915887,0.9160564827042809
audio,audio_emodb,whisper_large_v3_turbo,535,321,107,107,7,0.086,multiclass,HuggingFace (renumics/emodb),0.48598130841121495,0.8037383177570093,0.8317757009345794,0.7757009345794392,0.616822429906542,0.761817998881728,0.970730136242231,0.9798705076156871,0.9632958067885486,0.8785316426705828,seen,0.822429906542056,0.9780714697702744,unseen_tasks,0.8037383177570093,0.9715649567170399,seen,0.8504672897196262,0.982247250780931,seen,0.8130841121495327,0.9743628797512944,0.8037383177570093,0.9705055730504545
audio,audio_esc10,ast_audioset,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),1.0,1.0,1.0,0.9666666666666667,0.95,1.0,1.0,1.0,1.0,0.9972222222222221,unseen_encoders,0.9833333333333333,1.0,unseen_encoders,1.0,1.0,unseen_encoders,1.0,1.0,unseen_encoders,1.0,1.0,1.0,1.0
audio,audio_esc10,clap_general,400,280,60,60,10,0.1,,HuggingFace (ashraq/esc50),1.0,1.0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.0,0.999074074074074,seen,1.0,1.0,seen,1.0,1.0,seen,1.0,1.0,seen,1.0,1.0,1.0,1.0
